Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90
- - A -,Set,Kai Havertz,"M/AM (C), ST (C)",Chelsea,,England (Premier Division),-,"£215,000 p/w",30/6/2027,GER,,-,"6'1""",77 kg,Left,24,Light-Hearted,Scouting Required,£150M - £179M,17,"1,475",8,3,-,-0.94,7.06,-0.94,0.431,0.124,0.71,0.111,-18,0.034,1.464,7.59,17,17,"1,475",260.2,7.27,8,0.49,57,28,49%,3.48,1.71,0,0,-,5,7.06,9,2.12,3,0.18,27,1.65,809,49.36,655,39.97,81%,15,4,26%,26,1.59,27,232.5km,105,6.41,63,3.84,60%,1,24,1.46,83%,9,1,0,21,1.28,20,-,-,-,-,-,-,-,-,29,0,-,0,,86.76,29,14.186
- - A -,,Ilaix Moriba,"DM, M/AM (C)",RB Leipzig,,Germany (Bundesliga),-,"£51,000 p/w",30/6/2027,GUI,ESP,-,"6'1""",73 kg,Right,20,Fairly Determined,Media-friendly,£96M,16 (2),"1,406",1,2,-,3.3,4.3,3.3,0.275,0.123,0,0.083,3,0.094,1.6,8.53,16 (2),16,"1,406",222.42,6.94,1,0.06,35,16,46%,2.24,1.02,0,0,-,0,4.3,9,1.36,2,0.13,24,1.54,"1,093",69.96,934,59.79,85%,11,4,36%,13,0.83,13,201.3km,89,5.7,69,4.42,78%,0,25,1.6,78%,16,3,0,27,1.73,26,-,-,-,-,-,-,-,-,32,0,-,2,2,78.11,32,12.885
- - A -,,Pedri,"M (C), AM (RLC)",Barcelona,,Spain (First Division),-,"£190,000 p/w",30/6/2028,ESP,,-,"5'9""",65 kg,Right,20,Fairly Determined,Scouting Required,£171M - £188M,15,"1,350",3,4,-,0.66,3.66,0.66,0.244,0.122,0,0.16,-21,0,0.667,4.51,15,15,"1,350",180,7.38,3,0.2,30,15,50%,2,1,0,0,-,0,3.66,6,1,4,0.27,25,1.67,"1,170",78,"1,003",66.87,86%,9,2,22%,27,1.8,27,197.4km,42,2.8,27,1.8,64%,0,10,0.67,63%,6,0,0,13,0.87,23,-,-,-,-,-,-,-,-,16,0,-,3,,90,16,13.16
- - A -,,Nico Williams,"M/AM (RL), ST (C)",A. Bilbao,,Spain (First Division),-,"£13,000 p/w",30/6/2027,ESP,GHA,-,"5'11""",76 kg,Left,21,Fairly Determined,Scouting Required,£85M,12,921,2,2,-,-0.6,1.4,-0.6,0.137,0.074,3.57,0.065,-14,0,1.075,7.27,12,12,921,76.75,7.12,2,0.2,19,5,26%,1.86,0.49,0,0,-,5,1.4,4,0.39,2,0.2,31,3.03,469,45.83,408,39.87,87%,28,11,39%,16,1.56,25,134.3km,73,7.13,53,5.18,73%,0,11,1.07,73%,11,0,0,8,0.78,13,-,-,-,-,-,-,-,-,15,0,-,3,,76.75,15,13.124
- - A -,,Wilfred Ndidi,"D (C), DM, M (C)",Leicester,,England (Premier Division),-,"£94,000 p/w",30/6/2027,NGA,ENG,-,"6'0""",74 kg,Right,26,Fairly Ambitious,Scouting Required,£60M - £74M,12,"1,031",3,2,-,-2.32,0.68,-2.32,0.059,,,0.222,2,0.08,1.309,16.27,12,12,"1,031",175.1,7.41,3,0.26,8,4,50%,0.7,0.35,0,0,-,0,0.68,4,0.42,2,0.17,9,0.79,819,71.49,765,66.78,93%,4,2,50%,1,0.09,6,131.0km,121,10.56,93,8.12,77%,3,15,1.31,60%,8,2,0,21,1.83,49,-,-,-,-,-,-,-,-,25,0,-,3,,85.92,25,11.435
- - A -,,Leroy Sané,"M (RL), AM (RLC)",FC Bayern,,Germany (Bundesliga),-,"£250,000 p/w",30/6/2027,GER,FRA,-,"6'0""",80 kg,Left,27,Fairly Ambitious,Scouting Required,£64M - £97M,9 (3),829,5,7,-,-0.71,4.29,-0.71,0.466,0.119,1.17,0.179,-2,0,0.7,3.91,9 (3),9,829,210.46,7.59,5,0.54,36,22,61%,3.91,2.39,0,0,-,5,4.29,13,5.23,7,0.76,39,4.23,553,60.04,479,52,87%,67,22,32%,26,2.82,9,125.2km,36,3.91,20,2.17,56%,0,7,0.76,100%,7,0,0,11,1.19,2,-,-,-,-,-,-,-,-,7,0,-,3,3,69.08,7,13.592
- - A -,,Mikel Merino,"D (C), DM, M (C)",Real San Sebastián,,Spain (First Division),-,"£85,000 p/w",30/6/2026,ESP,BAS,-,"6'2""",79 kg,Left,27,Resolute,Scouting Required,£106M,12,"1,042",2,3,-,-1.22,0.78,-1.22,0.067,0.056,,0.167,1,0.188,1.123,7.03,12,12,"1,042",86.83,7.26,2,0.17,14,4,29%,1.21,0.35,0,0,-,0,0.78,2,0.17,3,0.26,18,1.55,955,82.49,854,73.76,89%,10,6,60%,1,0.09,19,144.5km,54,4.66,43,3.71,80%,0,13,1.12,81%,20,3,0,12,1.04,22,-,-,-,-,-,-,-,-,16,0,-,0,,86.83,16,12.481
- - A -,,Nicolò Rovella,"DM, M/AM (C)",Zebre,,Italy (Serie A),-,"£64,000 p/w",30/6/2027,ITA,,Trained in nation (15-21),"5'10""",70 kg,Right,21,Driven,Reserved,£51M - £73M,11 (1),868,0,2,-,0.13,0.13,0.13,0.013,,,0.182,-4,0,1.6,5.95,11 (1),11,868,149.12,7.05,0,-,3,0,0%,0.31,0,0,0,-,0,0.13,1,0.17,2,0.21,11,1.14,882,91.45,819,84.92,93%,9,1,11%,0,-,11,122.8km,20,2.07,13,1.35,65%,1,16,1.66,80%,7,0,0,10,1.04,12,-,-,-,-,-,-,-,-,20,0,-,0,1,72.33,20,12.733
- - A -,,Leon Goretzka,"DM, M/AM (C)",FC Bayern,,Germany (Bundesliga),-,"£195,000 p/w",30/6/2026,GER,,-,"6'2""",82 kg,Right,28,Perfectionist,Evasive,£76M - £92M,15 (1),"1,199",3,1,-,-0.93,2.07,-0.93,0.155,0.077,0.97,0.048,6,0.077,2.177,11.7,15 (1),15,"1,199",218.43,7.31,3,0.23,27,8,30%,2.03,0.6,0,0,-,2,2.07,8,1.06,1,0.08,21,1.58,"1,313",98.56,"1,218",91.43,93%,17,6,35%,2,0.15,8,168.5km,104,7.81,86,6.46,83%,1,29,2.18,74%,14,3,0,9,0.68,40,-,-,-,-,-,-,-,-,39,0,-,2,1,74.94,39,12.648
- - A -,Sct,Nicolò Zaniolo,"M (C), AM (RC), ST (C)",R. Madrid,,Spain (First Division),-,"£140,000 p/w",30/6/2027,ITA,,Trained in nation (0-21),"6'2""",79 kg,Left,24,Perfectionist,Outspoken,£100M - £118M,12 (3),936,4,1,-,-0.33,3.67,-0.33,0.353,0.127,1.63,0.056,6,0.333,0.673,7.48,12 (3),12,936,139.5,7.06,4,0.38,29,12,41%,2.79,1.15,0,0,-,6,3.67,2,0.53,1,0.1,18,1.73,427,41.06,381,36.63,89%,25,8,32%,25,2.4,15,140.4km,87,8.37,51,4.9,59%,0,7,0.67,58%,21,4,0,19,1.83,11,-,-,-,-,-,-,-,-,12,0,-,1,3,62.4,12,13.5
- - A -,,Phil Foden,"M (C), AM (RLC), ST (C)",Man City,,England (Premier Division),-,"£220,000 p/w",30/6/2028,ENG,,-,"5'7""",64 kg,Left,23,Fairly Professional,Level-headed,£128M - £181M,12 (1),969,2,2,-,-0.46,1.54,-0.46,0.143,0.14,0.65,0.143,1,0.143,1.022,6.18,12 (1),12,969,167.25,7.39,2,0.19,11,6,55%,1.02,0.56,0,0,-,1,1.54,6,1.22,2,0.19,14,1.3,826,76.72,730,67.8,88%,22,4,18%,31,2.88,9,140.1km,37,3.44,22,2.04,59%,0,11,1.02,79%,10,2,0,24,2.23,14,-,-,-,-,-,-,-,-,14,0,-,1,1,74.54,14,13.012
- - A -,Set,Mateo Kovačić,"DM, M/AM (C)",Chelsea,,England (Premier Division),-,"£150,000 p/w",30/6/2026,CRO,AUT,-,"5'10""",78 kg,Right,29,Resolute,Scouting Required,£131M - £157M,8 (4),787,1,1,-,0.13,1.13,0.13,0.129,0.087,0,0.111,1,0.15,1.889,8.21,8 (4),8,787,206.61,6.96,1,0.11,13,4,31%,1.49,0.46,0,0,-,0,1.13,2,0.33,1,0.11,9,1.03,684,78.22,625,71.47,91%,9,1,11%,8,0.91,11,109.8km,32,3.66,21,2.4,66%,1,17,1.94,85%,12,3,0,10,1.14,19,-,-,-,-,-,-,-,-,20,0,-,0,4,65.58,20,12.557
- - -,Set,Aymeric Laporte,D (LC),Man City,,England (Premier Division),-,"£245,000 p/w",30/6/2026,ESP,FRA,-,"6'3""",84 kg,Left,29,Fairly Professional,Level-headed,£139M - £203M,10 (2),993,0,2,-,0.53,0.53,0.53,0.048,0.048,,0.4,4,0,0.725,22.3,10 (2),10,993,228.83,7.34,0,-,11,3,27%,1,0.27,0,0,-,2,0.53,1,0.17,2,0.18,5,0.45,892,80.85,836,75.77,94%,9,3,33%,4,0.36,4,122.4km,161,14.59,140,12.69,87%,1,8,0.73,73%,8,0,0,35,3.17,82,-,-,-,-,-,-,-,-,11,0,-,0,2,82.75,11,11.094
- - -,Wnt,Memphis Depay,"AM (RLC), ST (C)",Barcelona,,Spain (First Division),-,"£160,000 p/w",30/6/2026,NED,GHA,-,"5'9""",78 kg,Right,29,Spirited,Scouting Required,£80M - £119M,6 (3),528,3,0,-,-1.04,1.96,-1.04,0.334,0.098,2.55,0,-6,0,0.833,5.56,6 (3),6,528,122.33,6.97,3,0.51,20,9,45%,3.41,1.53,0,0,-,5,1.96,0,-,0,-,11,1.87,260,44.32,223,38.01,86%,16,2,12%,6,1.02,10,72.5km,36,6.14,17,2.9,47%,0,5,0.85,83%,4,0,0,8,1.36,6,-,-,-,-,-,-,-,-,6,0,-,0,3,58.67,6,12.358
- - -,,João Pedro,"AM (RLC), ST (C)",Watford,,England (Premier Division),-,"£30,000 p/w",30/6/2027,BRA,,-,"6'0""",72 kg,Right,22,Balanced,Scouting Required,£34M - £52M,0 (3),109,1,0,-,-0.59,0.41,-0.59,0.205,,,,-1,0,1,6.61,0 (3),-,109,36.33,6.95,1,0.83,4,2,50%,3.3,1.65,0,0,-,0,0.41,0,-,0,-,2,1.65,46,37.98,33,27.25,72%,1,0,0%,1,0.83,3,14.4km,13,10.73,5,4.13,38%,0,2,1.65,100%,2,0,0,0,-,2,-,-,-,-,-,-,-,-,2,0,-,0,3,,2,11.89
- - -,,Vinícius Júnior,"M (L), AM (RL), ST (C)",R. Madrid,,Spain (First Division),-,"£250,000 p/w",30/6/2027,BRA,ESP,-,"5'10""",62 kg,Right,23,Driven,Scouting Required,£150M - £179M,16,"1,299",4,1,-,0.67,3.91,0.91,0.271,0.089,2.81,0.045,10,0.059,1.801,6.97,16,16,"1,299",164.08,7.15,4,0.28,44,23,52%,3.05,1.59,1,1,100%,11,4.67,7,0.65,1,0.07,22,1.52,634,43.93,557,38.59,88%,60,7,11%,35,2.42,19,202.2km,88,6.1,47,3.26,53%,0,26,1.8,76%,29,2,0,23,1.59,14,-,-,-,-,-,-,-,-,34,1,76%,1,,81.19,34,14.009
- - -,nEU,Ivan Ilić,"DM, M/AM (C)",Verona,,Italy (Serie A),-,"£4,300 p/w",30/6/2026,SRB,,-,"6'0""",75 kg,Left,22,Fairly Professional,Level-headed,£33M - £47M,8,645,0,1,-,0.15,0.15,0.15,0.021,,,0.143,7,0.111,1.625,7.9,8,8,645,169.29,6.69,0,-,7,4,57%,0.98,0.56,0,0,-,1,0.15,0,-,1,0.14,7,0.98,475,66.28,414,57.77,87%,19,4,21%,2,0.28,2,93.2km,31,4.33,22,3.07,71%,1,13,1.81,72%,9,2,0,4,0.56,13,-,-,-,-,-,-,-,-,18,0,-,0,,80.63,18,13.005
- - -,,Samuel Chukwueze,"M/AM (RL), ST (C)",Villarreal,,Spain (First Division),-,"£60,000 p/w",30/6/2028,NGA,,-,"5'8""",70 kg,Left Only,24,Fairly Determined,Level-headed,£26M - £38M,13 (1),"1,160",1,4,-,1.71,2.71,1.71,0.21,0.108,1.85,0.211,2,0.059,1.164,6.61,13 (1),13,"1,160",170.91,7.49,1,0.08,25,8,32%,1.94,0.62,0,0,-,5,2.71,1,0.1,4,0.31,19,1.47,561,43.53,480,37.24,86%,66,17,25%,34,2.64,11,167.8km,66,5.12,39,3.03,59%,0,15,1.16,88%,13,1,0,17,1.32,22,-,-,-,-,-,-,-,-,17,0,-,2,1,82.86,17,13.019
- - -,,Declan Rice,"D (C), DM, M (C)",Paris SG,,France (Ligue 1 Uber Eats),-,"£95,000 p/w",30/6/2027,ENG,IRL,-,"6'1""",80 kg,Right,24,Resolute,Reserved,£168M - £185M,8 (1),666,0,1,-,0.64,0.64,0.64,0.086,0.064,,0.167,5,0.133,1.375,7.1,8 (1),8,666,156,7.03,0,-,10,4,40%,1.35,0.54,0,0,-,1,0.64,1,0.23,1,0.14,6,0.81,561,75.81,524,70.81,93%,3,0,0%,1,0.14,4,99.9km,47,6.35,32,4.32,68%,0,11,1.49,73%,9,2,0,6,0.81,10,-,-,-,-,-,-,-,-,15,0,-,0,1,74,15,13.5
- - -,,Marcus Rashford,"M/AM (L), ST (C)",Man UFC,,England (Premier Division),-,"£220,000 p/w",30/6/2026,ENG,,-,"6'1""",70 kg,Right,26,Spirited,Scouting Required,£109M - £164M,10 (1),803,4,0,-,-1.89,1.35,-1.65,0.151,0.068,4.44,0,1,0.059,1.333,5.24,10 (1),10,803,82.1,7.26,4,0.45,20,9,45%,2.24,1.01,1,1,100%,6,2.11,2,0.22,0,-,12,1.34,381,42.7,341,38.22,90%,30,14,46%,22,2.47,12,122.6km,47,5.27,21,2.35,45%,0,12,1.34,71%,13,1,0,12,1.34,6,-,-,-,-,-,-,-,-,17,1,71%,1,1,73,17,13.741
- - -,,Paulo Dybala,"AM (RLC), ST (C)",Zebre,,Italy (Serie A),-,"£220,000 p/w",30/6/2026,ARG,POL,Trained in nation (15-21),"5'10""",79 kg,Left,29,Fairly Sporting,Level-headed,£99M - £142M,8,615,1,0,-,0.47,1.47,0.47,0.215,0.086,1.36,0,0,0,1,5.36,8,8,615,145.17,6.85,1,0.15,17,10,59%,2.49,1.46,0,0,-,2,1.47,2,0.89,0,-,12,1.76,444,64.98,380,55.61,86%,15,3,20%,2,0.29,5,100.3km,38,5.56,22,3.22,58%,0,7,1.02,64%,5,0,0,10,1.46,2,-,-,-,-,-,-,-,-,11,0,-,0,,76.88,11,14.678
- - -,,Heung-Min Son,"M (L), AM (RL), ST (C)",Tottenham,,England (Premier Division),-,"£190,000 p/w",30/6/2025,KOR,ENG,-,"6'0""",77 kg,Either,31,Professional,Media-friendly,Not for Sale,10 (1),769,2,1,-,-0.46,1.54,-0.46,0.18,0.091,3.9,0.071,-3,0,1.333,6.6,10 (1),10,769,112,7.03,2,0.23,17,5,29%,1.99,0.59,0,0,-,6,1.54,2,0.25,1,0.12,14,1.64,432,50.56,377,44.12,87%,35,5,14%,20,2.34,12,113.3km,56,6.55,33,3.86,59%,0,12,1.4,75%,9,0,0,12,1.4,6,-,-,-,-,-,-,-,-,16,0,-,0,1,69.91,16,13.26
- - -,,Éder Militão,D (RC),R. Madrid,,Spain (First Division),-,"£275,000 p/w",30/6/2027,BRA,ESP,-,"6'1""",79 kg,Right,25,Spirited,Scouting Required,£81M - £123M,14,"1,260",1,1,-,0.39,1.39,0.39,0.099,0.116,2.16,0.167,11,0.385,0.786,21.44,14,14,"1,260",180,7.08,1,0.07,12,5,42%,0.86,0.36,0,0,-,3,1.39,1,0.1,1,0.07,6,0.43,962,68.71,916,65.43,95%,6,1,16%,0,-,4,146.5km,176,12.57,154,11,88%,3,11,0.79,85%,15,5,0,34,2.43,105,-,-,-,-,-,-,-,-,13,0,-,1,,90,13,10.464
- - -,Set,Youri Tielemans,"DM, M/AM (C)",Leicester,,England (Premier Division),-,"£135,000 p/w",30/6/2028,BEL,COD,-,"5'9""",72 kg,Right,26,Fairly Ambitious,Level-headed,£47M - £67M,11 (1),789,0,3,-,0.94,0.94,0.94,0.107,0.078,,0.25,4,0,1.667,5.06,11 (1),11,789,102.5,6.91,0,-,12,2,17%,1.37,0.23,0,0,-,0,0.94,5,0.62,3,0.34,12,1.37,651,74.26,592,67.53,91%,10,1,10%,2,0.23,6,116.7km,23,2.62,8,0.91,35%,0,15,1.71,83%,10,0,0,10,1.14,13,-,-,-,-,-,-,-,-,18,0,-,1,1,65.75,18,13.312
- - -,Ask,Jadon Sancho,M/AM (RL),Man UFC,,England (Premier Division),-,"£250,000 p/w",30/6/2027,ENG,TRI,-,"5'11""",76 kg,Right,23,Ambitious,Scouting Required,£122M - £180M,11,877,2,0,-,-0.32,1.68,-0.32,0.172,0.105,4.17,0,-11,0,1,7.25,11,11,877,157.9,7.23,2,0.21,16,7,44%,1.64,0.72,0,0,-,7,1.68,3,0.34,0,-,17,1.74,465,47.72,396,40.64,85%,45,10,22%,24,2.46,18,129.2km,66,6.77,42,4.31,64%,0,10,1.03,77%,7,0,0,17,1.74,10,-,-,-,-,-,-,-,-,13,0,-,0,,79.73,13,13.259
- - -,,Jordan Henderson,"D (R), DM, M (C)",Liverpool,,England (Premier Division),-,"£135,000 p/w",30/6/2024,ENG,,-,"6'0""",79 kg,Right Only,33,Model Citizen,Scouting Required,£29M - £44M,10 (1),877,1,2,-,-0.45,0.55,-0.45,0.056,,,0.087,-1,0,1.2,11.47,10 (1),10,877,183.57,7.56,1,0.1,7,3,43%,0.72,0.31,0,0,-,0,0.55,5,1.67,2,0.21,23,2.36,727,74.61,651,66.81,90%,55,22,40%,3,0.31,12,128.3km,58,5.95,46,4.72,79%,1,12,1.23,92%,11,0,0,31,3.18,23,-,-,-,-,-,-,-,-,13,0,-,1,1,79.73,13,13.166
- - -,,İlkay Gündogan,"DM, M/AM (C)",FC Bayern,,Germany (Bundesliga),-,"£100,000 p/w",30/6/2025,GER,TUR,-,"5'11""",80 kg,Right,33,Ambitious,Media-friendly,£35M - £43M,2 (2),219,0,1,-,,,,,,,0.167,1,0,0.667,4.44,2 (2),2,219,80.33,7.3,0,-,0,-,-,-,-,0,0,-,0,0,2,0.87,1,0.41,6,2.47,265,108.9,239,98.22,90%,2,0,0%,0,-,1,32.0km,10,4.11,6,2.47,60%,0,2,0.82,100%,2,0,0,2,0.82,2,-,-,-,-,-,-,-,-,2,0,-,0,2,54.75,2,13.151
- - -,Wnt,Arthur Theate,D (C),Bologna,,Italy (Serie A),-,"£8,250 p/w",30/6/2026,BEL,,-,"6'1""",75 kg,Left,23,Fairly Determined,Scouting Required,£31M - £40M,10,900,0,0,-,0.28,0.28,0.28,0.028,,,,10,0.143,1.2,24.7,10,10,900,180,7.25,0,-,4,0,0%,0.4,0,0,0,-,0,0.28,0,-,0,-,4,0.4,829,82.9,801,80.1,97%,3,3,100%,2,0.2,0,112.2km,118,11.8,100,10,85%,2,12,1.2,86%,10,2,0,26,2.6,111,-,-,-,-,-,-,-,-,14,0,-,1,,90,14,11.22
